PUBCHEM_CID	DISTINCT_EXP_COUNT	EIDS
648303	1	3897
648319	1	3897
648350	1	3408
648366	1	3408
648369	1	3897
648399	1	854
648416	1	3393
648418	1	3897
648435	1	3452
648444	1	3897
648448	1	3731
648450	1	3897
648452	1	3897
648461	1	3408
648463	1	705
648465	1	3731
648472	1	3897
648488	1	967
648494	1	2760
648498	1	3393
648546	1	3897
648562	1	3897
648584	1	854
648589	1	3897
648594	1	3731
648597	1	3897
648601	1	3393
648608	1	3704
648659	1	4188
648675	1	3408
648685	1	3897
648686	1	967
648710	1	3897
648730	1	705
648734	1	3897
648772	1	7746
648794	1	3897
648821	1	3897
648826	1	3897
648837	1	854
648851	1	3897
648914	1	3897
648917	1	3897
648952	1	705
648953	1	3408
649024	1	967
649027	1	3408
649044	1	7672
649046	1	3897
649099	1	3896
649115	1	3452
649132	1	3704
649143	1	967
649175	1	3897
649189	1	3897
649191	1	3408
649213	1	3897
649222	1	3897
649238	1	2957
649246	1	7672
649277	1	3897
649307	1	3734
649310	1	3408
649320	1	4348
649326	1	3897
649329	1	2957
649331	1	3897
649337	1	3408
649340	1	705
649354	1	3897
649357	1	3428
649394	1	3897
649434	1	7634
649455	1	3393
649493	1	3704
649500	1	3897
649510	1	3897
649519	1	3897
649556	1	3731
649562	1	3897
649563	1	3897
649564	1	3897
649570	1	3897
649578	1	3897
649590	1	3897
649618	1	3897
649622	1	3452
649625	1	7672
649659	1	3897
649670	1	3897
649675	1	854
649679	1	967
649680	1	3897
649706	1	7725
649708	1	3452
649733	1	3731
649756	1	3731
649757	1	3731
649758	1	7743
649765	1	3452
649779	1	3897
649787	1	705
649789	1	2957
649792	1	2957
649796	1	3897
649803	1	3897
649804	1	3452
649833	1	3897
649834	1	7520
649840	1	3896
649845	1	3408
649877	1	3739
649887	1	7722
649903	1	3897
649929	1	3428
649939	1	3393
649941	1	2824
649949	1	7743
649963	1	3897
649968	1	3452
649976	1	3704
649983	1	3897
649984	1	3408
649988	1	3897
649994	1	4188
650025	1	3897
650037	1	3897
650038	1	3897
650040	1	3731
650101	1	854
650116	1	3897
650118	1	3896
650141	1	3897
650155	1	3897
650199	1	3408
650210	1	7723
650215	1	3393
650232	1	3897
650248	1	3897
650249	1	3897
650254	1	3731
650290	1	3731
650306	1	3897
650323	1	7537
650356	1	3704
650373	1	3897
650387	1	3897
650392	1	3408
650426	1	3408
650428	1	3897
650442	1	705
650463	1	3897
650521	1	3393
650528	1	3992
650550	1	3896
650579	1	3990
650584	1	7672
650594	1	3731
650648	1	2760
650651	1	3897
650679	1	3897
650689	1	3897
650706	1	7587
650720	1	3897
650726	1	2824
650730	1	3897
650740	1	854
650763	1	2467
650806	1	3897
650814	1	3408
650932	1	3897
650941	1	3897
650959	1	3897
650964	1	3408
650970	1	3393
651000	1	3897
651002	1	2957
651006	1	3897
651015	1	2467
651023	1	967
651029	1	3897
651033	1	3704
651053	1	3731
651083	1	3897
651087	1	3897
651088	1	3408
651095	1	3452
651130	1	3897
651143	1	3897
651154	1	854
651158	1	3897
651174	1	2824
651191	1	3731
651198	1	3897
651202	1	3704
651208	1	3731
651240	1	3897
651246	1	3428
651263	1	3216
651333	1	3897
651381	1	3704
651389	1	3897
651410	1	3897
651414	1	7672
651436	1	1827
651443	1	3897
651466	1	7749
651468	1	3452
651473	1	3408
651491	1	714
651512	1	7690
651548	1	3408
651552	1	7690
651556	1	2473
651563	1	3428
651601	1	2957
651604	1	3897
651692	1	3393
651693	1	4188
651710	1	967
651714	1	3731
651724	1	3731
651740	1	3897
651767	1	3897
651779	1	3731
651814	1	3897
651820	1	3452
651823	1	2957
651837	1	3897
651867	1	3408
651868	1	3897
651872	1	4188
651883	1	3393
651892	1	7741
651914	1	7672
651944	1	854
651954	1	3897
651958	1	3408
651961	1	705
651967	1	3731
651972	1	3897
651993	1	7634
652026	1	3731
652031	1	3897
652093	1	3393
652113	1	4166
652151	1	3731
652184	1	967
652189	1	3408
652190	1	7672
652205	1	3897
652218	1	4188
652223	1	3897
652252	1	3393
652266	1	3408
652280	1	3704
652283	1	3897
652303	1	4348
